MONTH,CITY,TRIPS,GROSS BOOKINGS (GB),SHOPPING SESSIONS,RIDERS WITH SESSIONS,REQUESTING SESSIONS,REQUESTS,ACTIVE DRIVERS,SUPPLY HOURS,C/R,C/RS,RS/SS,C/SS,ACCEPTANCE RATE,DRIVER CANCELATION,SUPPLY UTILIZATION,NPI,DRIVER PAYMENTS (AS % OF GB),RIDER INCENTIVES AND PROMOTIONS (AS % OF GB),DRIVER INCENTIVES AND PROMOTIONS (AS % OF GB),TAKE RATE (AS % OF GB)
2023-03,Lusail,"2,381,290","46,565,264","4,448,765","512,515","2,502,118","2,756,123","12,579","1,432,406",86.4%,95.2%,56.2%,53.5%,25.0%,17.0%,62.0%,1.05,75.1%,7.0%,1.7%,14.0%
2023-03,Old Trafford,"13,965,329","307,978,635","26,350,527","3,107,522","15,138,576","16,862,996","81,887","8,103,619",82.8%,92.2%,57.5%,53.0%,28.0%,17.0%,75.0%,1.05,77.8%,-2.8%,1.6%,18.1%
2023-03,Maracan‹,"5,669,992","95,718,652","8,683,445","1,156,754","5,860,091","6,248,202","33,297","2,419,414",90.7%,96.8%,67.5%,65.3%,33.0%,15.0%,70.0%,1.02,74.5%,14.9%,0.8%,8.3%
2023-03,Azteca,"2,972,144","53,569,156","5,138,087","746,138","3,282,108","3,723,174","21,226","1,496,937",79.8%,90.6%,63.9%,57.8%,22.0%,18.0%,68.0%,1.08,75.3%,7.7%,1.7%,13.2%
2023-03,Santiago Bernabeu,"3,225,237","48,433,491","5,295,814","841,696","3,520,532","3,875,571","24,806","1,532,790",83.2%,91.6%,66.5%,60.9%,28.0%,16.0%,61.0%,1.02,75.5%,12.8%,1.6%,8.9%
2023-04,Vila Belmiro,"3,767,278","82,646,893","7,293,841","822,555","4,054,802","4,694,168","24,559","2,227,285",80.3%,92.9%,55.6%,51.7%,21.0%,17.0%,60.0%,1.06,75.9%,12.2%,0.0%,10.3%
2023-04,Rose Bowl,"2,100,041","40,260,074","3,510,536","481,194","2,244,846","2,565,384","12,521","1,277,641",81.9%,93.5%,63.9%,59.8%,27.0%,14.0%,57.0%,1.06,77.2%,6.7%,0.0%,14.3%
2023-04,San Siro,"8,573,742","181,639,473","16,227,949","1,746,512","9,330,724","10,943,721","58,587","5,463,580",78.3%,91.9%,57.5%,52.8%,25.0%,19.0%,66.0%,1.00,79.0%,7.4%,1.6%,9.8%
2023-04,Lusail,"2,300,369","45,661,196","4,390,952","514,510","2,477,294","2,910,362","12,659","1,321,247",79.0%,92.9%,56.4%,52.4%,21.0%,20.0%,65.0%,0.97,74.8%,8.1%,0.9%,14.0%
2023-04,Old Trafford,"13,187,398","283,795,220","23,624,114","2,971,401","14,175,409","16,259,907","84,076","7,705,032",81.1%,93.0%,60.0%,55.8%,28.0%,17.0%,72.0%,1.03,77.1%,-0.9%,2.1%,16.4%
2023-04,Maracan‹,"5,205,915","86,317,794","8,195,815","1,157,327","5,402,691","5,986,254","34,606","2,312,031",87.0%,96.4%,65.9%,63.5%,32.0%,16.0%,68.0%,1.01,74.6%,10.2%,0.7%,12.8%
2023-04,Azteca,"2,852,944","51,727,409","4,895,676","741,255","3,135,388","3,640,904","21,562","1,462,462",78.4%,91.0%,64.0%,58.3%,23.0%,18.0%,66.0%,1.01,76.2%,7.9%,1.2%,12.8%
2023-04,Santiago Bernabeu,"2,942,577","44,226,453","5,003,055","852,306","3,224,737","3,693,260","25,658","1,440,349",79.7%,91.3%,64.5%,58.8%,28.0%,17.0%,60.0%,1.02,76.6%,8.6%,1.1%,12.3%
2023-05,Vila Belmiro,"4,161,349","91,655,990","7,791,915","832,983","4,454,357","5,099,388","25,128","2,491,474",81.6%,93.4%,57.2%,53.4%,21.0%,17.0%,60.0%,1.04,75.2%,15.7%,0.3%,7.5%
2023-05,Rose Bowl,"2,357,490","44,883,468","3,784,978","490,460","2,503,015","2,821,727","12,997","1,421,429",83.5%,94.2%,66.1%,62.3%,27.0%,14.0%,57.0%,0.99,76.2%,10.7%,0.4%,11.1%
2023-05,San Siro,"8,853,612","188,293,295","16,807,528","1,739,846","9,595,479","11,082,989","58,680","5,917,323",79.9%,92.3%,57.1%,52.7%,25.0%,19.0%,65.0%,1.02,79.1%,7.5%,1.7%,9.3%
2023-05,Lusail,"2,425,594","48,406,035","4,642,435","520,905","2,614,702","3,063,459","12,793","1,423,243",79.2%,92.8%,56.3%,52.2%,21.0%,20.0%,65.0%,1.00,75.0%,7.2%,0.3%,15.1%
2023-05,Old Trafford,"13,807,597","297,462,876","24,574,246","3,011,762","14,857,791","16,831,071","86,963","8,445,395",82.0%,92.9%,60.5%,56.2%,29.0%,17.0%,70.0%,1.03,76.8%,-0.6%,2.0%,16.3%
2023-05,Maracan‹,"5,546,171","89,581,148","8,566,019","1,170,007","5,745,262","6,298,303","35,702","2,538,659",88.1%,96.5%,67.1%,64.7%,33.0%,15.0%,65.0%,1.05,74.9%,8.0%,0.6%,14.4%
2023-05,Azteca,"3,029,752","53,018,262","4,974,949","702,731","3,287,287","3,754,754","21,174","1,597,569",80.7%,92.2%,66.1%,60.9%,24.0%,17.0%,63.0%,0.98,75.6%,8.1%,1.6%,12.8%
2023-05,Santiago Bernabeu,"3,158,192","46,530,131","5,182,288","831,082","3,422,532","3,852,333","25,976","1,602,929",82.0%,92.3%,66.0%,60.9%,28.0%,16.0%,58.0%,1.03,75.9%,8.4%,1.1%,12.9%
2023-06,Vila Belmiro,"4,138,340","90,333,416","7,700,267","831,338","4,426,798","5,081,141","25,598","2,507,259",81.4%,93.5%,57.5%,53.7%,21.0%,17.0%,59.0%,1.04,75.3%,15.2%,0.3%,8.0%
2023-06,Rose Bowl,"2,368,060","45,444,279","3,808,662","497,237","2,496,876","2,801,762","13,255","1,439,788",84.5%,94.8%,65.6%,62.2%,28.0%,14.0%,57.0%,1.04,76.7%,8.1%,0.6%,12.8%
2023-06,San Siro,"8,710,542","188,377,036","16,415,563","1,720,904","9,359,037","10,772,585","58,543","5,818,980",80.9%,93.1%,57.0%,53.1%,26.0%,18.0%,64.0%,1.02,79.0%,8.5%,1.4%,8.7%
2023-06,Lusail,"2,267,388","46,017,311","4,503,356","521,777","2,513,888","3,084,762","12,764","1,296,671",73.5%,90.2%,55.8%,50.3%,18.0%,21.0%,67.0%,0.98,75.9%,4.8%,0.3%,16.5%
2023-06,Old Trafford,"14,119,608","311,318,798","24,750,700","3,031,547","15,196,863","17,300,421","87,496","8,431,216",81.6%,92.9%,61.4%,57.0%,28.0%,16.0%,72.0%,1.02,76.5%,3.3%,2.2%,12.9%
2023-06,Maracan‹,"5,472,881","89,319,413","8,407,230","1,182,939","5,668,726","6,248,254","36,791","2,500,872",87.6%,96.5%,67.4%,65.1%,32.0%,15.0%,66.0%,1.06,74.9%,7.8%,0.7%,14.5%
2023-06,Azteca,"3,069,394","53,834,201","4,953,647","698,845","3,289,784","3,738,439","21,396","1,602,426",82.1%,93.3%,66.4%,62.0%,25.0%,17.0%,63.0%,1.01,77.0%,7.0%,2.0%,12.1%
2023-06,Santiago Bernabeu,"3,098,682","45,812,514","5,058,701","832,807","3,358,615","3,795,217","26,285","1,578,991",81.6%,92.3%,66.4%,61.3%,28.0%,16.0%,58.0%,1.04,75.8%,8.1%,1.3%,13.1%
2023-07,Vila Belmiro,"4,307,568","97,497,824","8,162,875","872,490","4,655,346","5,350,915","25,905","2,531,020",80.5%,92.5%,57.0%,52.8%,20.0%,18.0%,61.0%,1.03,75.2%,16.3%,0.7%,7.2%
2023-07,Rose Bowl,"2,391,493","47,544,558","3,902,867","514,524","2,519,634","2,778,370","13,579","1,480,826",86.1%,94.9%,64.6%,61.3%,31.0%,14.0%,55.0%,1.04,76.7%,8.8%,0.1%,12.5%
2023-07,San Siro,"9,361,068","208,450,055","18,010,410","1,815,743","10,215,987","11,812,321","58,849","5,784,267",79.2%,91.6%,56.7%,52.0%,24.0%,18.0%,68.0%,0.99,78.3%,9.4%,1.5%,8.9%
2023-07,Lusail,"2,363,397","46,934,429","4,668,157","540,550","2,579,363","3,019,797","12,850","1,407,405",78.3%,91.6%,55.3%,50.6%,20.0%,19.0%,63.0%,1.03,75.4%,2.8%,0.7%,18.8%
2023-07,Old Trafford,"14,597,724","315,947,463","25,418,262","3,097,818","15,666,354","17,494,813","86,791","8,615,685",83.4%,93.2%,61.6%,57.4%,29.0%,16.0%,70.0%,1.02,75.6%,3.4%,2.5%,13.7%
2023-07,Maracan‹,"5,558,238","90,896,955","8,568,675","1,221,687","5,782,026","6,302,136","37,323","2,582,358",88.2%,96.1%,67.5%,64.9%,33.0%,14.0%,64.0%,1.04,74.6%,8.5%,0.5%,14.2%
2023-07,Azteca,"3,245,021","58,004,552","5,307,899","748,321","3,520,893","3,993,977","22,211","1,649,805",81.2%,92.2%,66.3%,61.1%,24.0%,17.0%,65.0%,0.99,77.4%,7.6%,1.1%,11.9%
2023-07,Santiago Bernabeu,"3,187,360","48,314,039","5,291,926","888,176","3,491,211","3,926,841","27,074","1,580,045",81.2%,91.3%,66.0%,60.2%,27.0%,16.0%,59.0%,1.02,75.5%,8.8%,0.7%,13.2%
2023-08,Vila Belmiro,"4,301,282","98,832,694","8,476,662","871,976","4,707,912","5,292,677","26,305","2,655,355",81.3%,91.4%,55.5%,50.7%,22.0%,17.0%,59.0%,1.03,74.7%,17.4%,1.1%,6.2%
2023-08,Rose Bowl,"2,530,329","50,754,670","4,199,901","530,375","2,688,756","2,915,290","14,016","1,573,913",86.8%,94.1%,64.0%,60.2%,32.0%,14.0%,57.0%,1.07,76.3%,9.0%,0.7%,12.1%
2023-08,San Siro,"9,175,218","207,911,290","18,513,056","1,836,368","10,193,686","11,615,843","59,856","6,044,933",79.0%,90.0%,55.1%,49.6%,24.0%,18.0%,66.0%,0.99,77.9%,9.5%,2.1%,8.7%
2023-08,Lusail,"2,302,457","46,230,400","4,791,615","539,063","2,558,018","2,953,477","12,968","1,425,503",78.0%,90.0%,53.4%,48.1%,21.0%,19.0%,61.0%,1.06,74.5%,3.2%,1.4%,18.6%
2023-08,Old Trafford,"15,078,245","337,046,538","27,065,671","3,177,285","16,460,119","18,257,621","88,617","9,312,092",82.6%,91.6%,60.8%,55.7%,27.0%,16.0%,70.0%,1.01,75.5%,4.3%,2.5%,13.0%
2023-08,Maracan‹,"5,920,850","97,755,631","9,208,942","1,241,374","6,239,218","6,708,429","38,094","2,761,468",88.3%,94.9%,67.8%,64.3%,32.0%,14.0%,64.0%,1.05,74.4%,9.7%,0.6%,13.1%
2023-08,Azteca,"3,368,197","60,390,693","5,595,624","751,283","3,690,043","4,123,811","22,183","1,745,079",81.7%,91.3%,65.9%,60.2%,24.0%,17.0%,64.0%,1.01,77.0%,7.5%,1.4%,12.0%
2023-08,Santiago Bernabeu,"3,283,779","49,400,590","5,538,406","873,502","3,646,490","4,040,761","26,778","1,677,799",81.3%,90.1%,65.8%,59.3%,26.0%,16.0%,58.0%,1.04,75.2%,9.3%,1.1%,12.6%
2023-09,Vila Belmiro,"4,251,746","94,686,401","8,711,109","881,125","4,731,837","5,426,310","26,726","2,571,519",78.4%,89.9%,54.3%,48.8%,20.0%,17.0%,61.0%,1.03,75.7%,14.9%,0.6%,7.7%
2023-09,Rose Bowl,"2,464,668","48,893,495","4,120,209","527,685","2,624,348","2,836,178","14,484","1,540,329",86.9%,93.9%,63.7%,59.8%,34.0%,14.0%,56.0%,1.07,75.6%,8.7%,0.1%,14.0%
2023-09,San Siro,"8,744,828","197,938,494","18,821,685","1,865,341","9,871,150","11,298,467","60,155","5,824,659",77.4%,88.6%,52.4%,46.5%,22.0%,20.0%,66.0%,1.00,78.1%,6.7%,1.4%,11.5%
2023-09,Lusail,"2,313,036","47,212,846","4,956,271","548,921","2,603,924","3,033,339","12,828","1,358,810",76.3%,88.8%,52.5%,46.7%,21.0%,24.0%,65.0%,1.04,75.5%,6.7%,1.0%,14.7%
2023-09,Old Trafford,"14,941,308","341,153,811","28,135,176","3,264,081","16,723,285","18,791,835","90,278","8,931,424",79.5%,89.3%,59.4%,53.1%,24.0%,18.0%,74.0%,1.00,74.9%,6.3%,2.1%,11.9%
2023-09,Maracan‹,"5,859,982","97,754,617","9,344,716","1,267,734","6,224,009","6,704,448","39,279","2,650,724",87.4%,94.2%,66.6%,62.7%,33.0%,14.0%,67.0%,1.05,74.3%,10.6%,0.6%,12.7%
2023-09,Azteca,"3,277,870","60,422,624","5,652,559","804,444","3,629,282","4,057,266","24,059","1,702,750",80.8%,90.3%,64.2%,58.0%,25.0%,18.0%,65.0%,1.04,76.8%,7.8%,1.3%,12.3%
2023-09,Santiago Bernabeu,"3,209,250","49,283,353","5,643,533","910,170","3,616,880","4,019,850","27,825","1,593,808",79.8%,88.7%,64.1%,56.9%,25.0%,17.0%,60.0%,1.04,74.7%,9.5%,1.5%,12.9%
