MONTH,CITY,TRIPS,GROSS BOOKINGS (GB),SHOPPING SESSIONS,RIDERS WITH SESSIONS,REQUESTING SESSIONS,REQUESTS,ACTIVE DRIVERS,SUPPLY HOURS,C/R,C/RS,RS/SS,C/SS,ACCEPTANCE RATE,DRIVER CANCELATION,SUPPLY UTILIZATION,NPI,DRIVER PAYMENTS (AS % OF GB),RIDER INCENTIVES AND PROMOTIONS (AS % OF GB),DRIVER INCENTIVES AND PROMOTIONS (AS % OF GB),TAKE RATE (AS % OF GB)
2023-03,Lusail,"2,381,290","46,565,264","4,448,765","512,515","2,502,118","2,756,123","12,579","1,432,406",86.40%,95.20%,56.20%,53.50%,25.00%,17.00%,62.00%,1.05,75.10%,7.00%,1.70%,14.00%
2023-03,Old Trafford,"13,965,329","307,978,635","26,350,527","3,107,522","15,138,576","16,862,996","81,887","8,103,619",82.80%,92.20%,57.50%,53.00%,28.00%,17.00%,75.00%,1.05,77.80%,-2.80%,1.60%,18.10%
2023-03,Maracan‹,"5,669,992","95,718,652","8,683,445","1,156,754","5,860,091","6,248,202","33,297","2,419,414",90.70%,96.80%,67.50%,65.30%,33.00%,15.00%,70.00%,1.02,74.50%,14.90%,0.80%,8.30%
2023-03,Azteca,"2,972,144","53,569,156","5,138,087","746,138","3,282,108","3,723,174","21,226","1,496,937",79.80%,90.60%,63.90%,57.80%,22.00%,18.00%,68.00%,1.08,75.30%,7.70%,1.70%,13.20%
2023-03,Santiago Bernabeu,"3,225,237","48,433,491","5,295,814","841,696","3,520,532","3,875,571","24,806","1,532,790",83.20%,91.60%,66.50%,60.90%,28.00%,16.00%,61.00%,1.02,75.50%,12.80%,1.60%,8.90%
2023-04,Vila Belmiro,"3,767,278","82,646,893","7,293,841","822,555","4,054,802","4,694,168","24,559","2,227,285",80.30%,92.90%,55.60%,51.70%,21.00%,17.00%,60.00%,1.06,75.90%,12.20%,0.00%,10.30%
2023-04,Rose Bowl,"2,100,041","40,260,074","3,510,536","481,194","2,244,846","2,565,384","12,521","1,277,641",81.90%,93.50%,63.90%,59.80%,27.00%,14.00%,57.00%,1.06,77.20%,6.70%,0.00%,14.30%
2023-04,San Siro,"8,573,742","181,639,473","16,227,949","1,746,512","9,330,724","10,943,721","58,587","5,463,580",78.30%,91.90%,57.50%,52.80%,25.00%,19.00%,66.00%,1,79.00%,7.40%,1.60%,9.80%
2023-04,Lusail,"2,300,369","45,661,196","4,390,952","514,510","2,477,294","2,910,362","12,659","1,321,247",79.00%,92.90%,56.40%,52.40%,21.00%,20.00%,65.00%,0.97,74.80%,8.10%,0.90%,14.00%
2023-04,Old Trafford,"13,187,398","283,795,220","23,624,114","2,971,401","14,175,409","16,259,907","84,076","7,705,032",81.10%,93.00%,60.00%,55.80%,28.00%,17.00%,72.00%,1.03,77.10%,-0.90%,2.10%,16.40%
2023-04,Maracan‹,"5,205,915","86,317,794","8,195,815","1,157,327","5,402,691","5,986,254","34,606","2,312,031",87.00%,96.40%,65.90%,63.50%,32.00%,16.00%,68.00%,1.01,74.60%,10.20%,0.70%,12.80%
2023-04,Azteca,"2,852,944","51,727,409","4,895,676","741,255","3,135,388","3,640,904","21,562","1,462,462",78.40%,91.00%,64.00%,58.30%,23.00%,18.00%,66.00%,1.01,76.20%,7.90%,1.20%,12.80%
2023-04,Santiago Bernabeu,"2,942,577","44,226,453","5,003,055","852,306","3,224,737","3,693,260","25,658","1,440,349",79.70%,91.30%,64.50%,58.80%,28.00%,17.00%,60.00%,1.02,76.60%,8.60%,1.10%,12.30%
2023-05,Vila Belmiro,"4,161,349","91,655,990","7,791,915","832,983","4,454,357","5,099,388","25,128","2,491,474",81.60%,93.40%,57.20%,53.40%,21.00%,17.00%,60.00%,1.04,75.20%,15.70%,0.30%,7.50%
2023-05,Rose Bowl,"2,357,490","44,883,468","3,784,978","490,460","2,503,015","2,821,727","12,997","1,421,429",83.50%,94.20%,66.10%,62.30%,27.00%,14.00%,57.00%,0.99,76.20%,10.70%,0.40%,11.10%
2023-05,San Siro,"8,853,612","188,293,295","16,807,528","1,739,846","9,595,479","11,082,989","58,680","5,917,323",79.90%,92.30%,57.10%,52.70%,25.00%,19.00%,65.00%,1.02,79.10%,7.50%,1.70%,9.30%
2023-05,Lusail,"2,425,594","48,406,035","4,642,435","520,905","2,614,702","3,063,459","12,793","1,423,243",79.20%,92.80%,56.30%,52.20%,21.00%,20.00%,65.00%,1,75.00%,7.20%,0.30%,15.10%
2023-05,Old Trafford,"13,807,597","297,462,876","24,574,246","3,011,762","14,857,791","16,831,071","86,963","8,445,395",82.00%,92.90%,60.50%,56.20%,29.00%,17.00%,70.00%,1.03,76.80%,-0.60%,2.00%,16.30%
2023-05,Maracan‹,"5,546,171","89,581,148","8,566,019","1,170,007","5,745,262","6,298,303","35,702","2,538,659",88.10%,96.50%,67.10%,64.70%,33.00%,15.00%,65.00%,1.05,74.90%,8.00%,0.60%,14.40%
2023-05,Azteca,"3,029,752","53,018,262","4,974,949","702,731","3,287,287","3,754,754","21,174","1,597,569",80.70%,92.20%,66.10%,60.90%,24.00%,17.00%,63.00%,0.98,75.60%,8.10%,1.60%,12.80%
2023-05,Santiago Bernabeu,"3,158,192","46,530,131","5,182,288","831,082","3,422,532","3,852,333","25,976","1,602,929",82.00%,92.30%,66.00%,60.90%,28.00%,16.00%,58.00%,1.03,75.90%,8.40%,1.10%,12.90%
2023-06,Vila Belmiro,"4,138,340","90,333,416","7,700,267","831,338","4,426,798","5,081,141","25,598","2,507,259",81.40%,93.50%,57.50%,53.70%,21.00%,17.00%,59.00%,1.04,75.30%,15.20%,0.30%,8.00%
2023-06,Rose Bowl,"2,368,060","45,444,279","3,808,662","497,237","2,496,876","2,801,762","13,255","1,439,788",84.50%,94.80%,65.60%,62.20%,28.00%,14.00%,57.00%,1.04,76.70%,8.10%,0.60%,12.80%
2023-06,San Siro,"8,710,542","188,377,036","16,415,563","1,720,904","9,359,037","10,772,585","58,543","5,818,980",80.90%,93.10%,57.00%,53.10%,26.00%,18.00%,64.00%,1.02,79.00%,8.50%,1.40%,8.70%
2023-06,Lusail,"2,267,388","46,017,311","4,503,356","521,777","2,513,888","3,084,762","12,764","1,296,671",73.50%,90.20%,55.80%,50.30%,18.00%,21.00%,67.00%,0.98,75.90%,4.80%,0.30%,16.50%
2023-06,Old Trafford,"14,119,608","311,318,798","24,750,700","3,031,547","15,196,863","17,300,421","87,496","8,431,216",81.60%,92.90%,61.40%,57.00%,28.00%,16.00%,72.00%,1.02,76.50%,3.30%,2.20%,12.90%
2023-06,Maracan‹,"5,472,881","89,319,413","8,407,230","1,182,939","5,668,726","6,248,254","36,791","2,500,872",87.60%,96.50%,67.40%,65.10%,32.00%,15.00%,66.00%,1.06,74.90%,7.80%,0.70%,14.50%
2023-06,Azteca,"3,069,394","53,834,201","4,953,647","698,845","3,289,784","3,738,439","21,396","1,602,426",82.10%,93.30%,66.40%,62.00%,25.00%,17.00%,63.00%,1.01,77.00%,7.00%,2.00%,12.10%
2023-06,Santiago Bernabeu,"3,098,682","45,812,514","5,058,701","832,807","3,358,615","3,795,217","26,285","1,578,991",81.60%,92.30%,66.40%,61.30%,28.00%,16.00%,58.00%,1.04,75.80%,8.10%,1.30%,13.10%
2023-07,Vila Belmiro,"4,307,568","97,497,824","8,162,875","872,490","4,655,346","5,350,915","25,905","2,531,020",80.50%,92.50%,57.00%,52.80%,20.00%,18.00%,61.00%,1.03,75.20%,16.30%,0.70%,7.20%
2023-07,Rose Bowl,"2,391,493","47,544,558","3,902,867","514,524","2,519,634","2,778,370","13,579","1,480,826",86.10%,94.90%,64.60%,61.30%,31.00%,14.00%,55.00%,1.04,76.70%,8.80%,0.10%,12.50%
2023-07,San Siro,"9,361,068","208,450,055","18,010,410","1,815,743","10,215,987","11,812,321","58,849","5,784,267",79.20%,91.60%,56.70%,52.00%,24.00%,18.00%,68.00%,0.99,78.30%,9.40%,1.50%,8.90%
2023-07,Lusail,"2,363,397","46,934,429","4,668,157","540,550","2,579,363","3,019,797","12,850","1,407,405",78.30%,91.60%,55.30%,50.60%,20.00%,19.00%,63.00%,1.03,75.40%,2.80%,0.70%,18.80%
2023-07,Old Trafford,"14,597,724","315,947,463","25,418,262","3,097,818","15,666,354","17,494,813","86,791","8,615,685",83.40%,93.20%,61.60%,57.40%,29.00%,16.00%,70.00%,1.02,75.60%,3.40%,2.50%,13.70%
2023-07,Maracan‹,"5,558,238","90,896,955","8,568,675","1,221,687","5,782,026","6,302,136","37,323","2,582,358",88.20%,96.10%,67.50%,64.90%,33.00%,14.00%,64.00%,1.04,74.60%,8.50%,0.50%,14.20%
2023-07,Azteca,"3,245,021","58,004,552","5,307,899","748,321","3,520,893","3,993,977","22,211","1,649,805",81.20%,92.20%,66.30%,61.10%,24.00%,17.00%,65.00%,0.99,77.40%,7.60%,1.10%,11.90%
2023-07,Santiago Bernabeu,"3,187,360","48,314,039","5,291,926","888,176","3,491,211","3,926,841","27,074","1,580,045",81.20%,91.30%,66.00%,60.20%,27.00%,16.00%,59.00%,1.02,75.50%,8.80%,0.70%,13.20%
2023-08,Vila Belmiro,"4,301,282","98,832,694","8,476,662","871,976","4,707,912","5,292,677","26,305","2,655,355",81.30%,91.40%,55.50%,50.70%,22.00%,17.00%,59.00%,1.03,74.70%,17.40%,1.10%,6.20%
2023-08,Rose Bowl,"2,530,329","50,754,670","4,199,901","530,375","2,688,756","2,915,290","14,016","1,573,913",86.80%,94.10%,64.00%,60.20%,32.00%,14.00%,57.00%,1.07,76.30%,9.00%,0.70%,12.10%
2023-08,San Siro,"9,175,218","207,911,290","18,513,056","1,836,368","10,193,686","11,615,843","59,856","6,044,933",79.00%,90.00%,55.10%,49.60%,24.00%,18.00%,66.00%,0.99,77.90%,9.50%,2.10%,8.70%
2023-08,Lusail,"2,302,457","46,230,400","4,791,615","539,063","2,558,018","2,953,477","12,968","1,425,503",78.00%,90.00%,53.40%,48.10%,21.00%,19.00%,61.00%,1.06,74.50%,3.20%,1.40%,18.60%
2023-08,Old Trafford,"15,078,245","337,046,538","27,065,671","3,177,285","16,460,119","18,257,621","88,617","9,312,092",82.60%,91.60%,60.80%,55.70%,27.00%,16.00%,70.00%,1.01,75.50%,4.30%,2.50%,13.00%
2023-08,Maracan‹,"5,920,850","97,755,631","9,208,942","1,241,374","6,239,218","6,708,429","38,094","2,761,468",88.30%,94.90%,67.80%,64.30%,32.00%,14.00%,64.00%,1.05,74.40%,9.70%,0.60%,13.10%
2023-08,Azteca,"3,368,197","60,390,693","5,595,624","751,283","3,690,043","4,123,811","22,183","1,745,079",81.70%,91.30%,65.90%,60.20%,24.00%,17.00%,64.00%,1.01,77.00%,7.50%,1.40%,12.00%
2023-08,Santiago Bernabeu,"3,283,779","49,400,590","5,538,406","873,502","3,646,490","4,040,761","26,778","1,677,799",81.30%,90.10%,65.80%,59.30%,26.00%,16.00%,58.00%,1.04,75.20%,9.30%,1.10%,12.60%
2023-09,Vila Belmiro,"4,251,746","94,686,401","8,711,109","881,125","4,731,837","5,426,310","26,726","2,571,519",78.40%,89.90%,54.30%,48.80%,20.00%,17.00%,61.00%,1.03,75.70%,14.90%,0.60%,7.70%
2023-09,Rose Bowl,"2,464,668","48,893,495","4,120,209","527,685","2,624,348","2,836,178","14,484","1,540,329",86.90%,93.90%,63.70%,59.80%,34.00%,14.00%,56.00%,1.07,75.60%,8.70%,0.10%,14.00%
2023-09,San Siro,"8,744,828","197,938,494","18,821,685","1,865,341","9,871,150","11,298,467","60,155","5,824,659",77.40%,88.60%,52.40%,46.50%,22.00%,20.00%,66.00%,1,78.10%,6.70%,1.40%,11.50%
2023-09,Lusail,"2,313,036","47,212,846","4,956,271","548,921","2,603,924","3,033,339","12,828","1,358,810",76.30%,88.80%,52.50%,46.70%,21.00%,24.00%,65.00%,1.04,75.50%,6.70%,1.00%,14.70%
2023-09,Old Trafford,"14,941,308","341,153,811","28,135,176","3,264,081","16,723,285","18,791,835","90,278","8,931,424",79.50%,89.30%,59.40%,53.10%,24.00%,18.00%,74.00%,1,74.90%,6.30%,2.10%,11.90%
2023-09,Maracan‹,"5,859,982","97,754,617","9,344,716","1,267,734","6,224,009","6,704,448","39,279","2,650,724",87.40%,94.20%,66.60%,62.70%,33.00%,14.00%,67.00%,1.05,74.30%,10.60%,0.60%,12.70%
2023-09,Azteca,"3,277,870","60,422,624","5,652,559","804,444","3,629,282","4,057,266","24,059","1,702,750",80.80%,90.30%,64.20%,58.00%,25.00%,18.00%,65.00%,1.04,76.80%,7.80%,1.30%,12.30%
2023-09,Santiago Bernabeu,"3,209,250","49,283,353","5,643,533","910,170","3,616,880","4,019,850","27,825","1,593,808",79.80%,88.70%,64.10%,56.90%,25.00%,17.00%,60.00%,1.04,74.70%,9.50%,1.50%,12.90%
